Ranking,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Ints,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TotalTD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
275,Jake Ferguson,DAL,TE,23,13,7,0,0,0,0,0,0,0,,0,19,16,139,8.69,2,0,0,2,,,26,41.9,44.9,33.9,,40,

276,Javonte Williams,DEN,RB,22,4,4,0,0,0,0,0,47,204,4.34,0,22,16,76,4.75,0,1,1,0,,,26,42.0,46.0,34.0,,75,

277,Ashton Dulin,IND,WR,25,9,2,0,0,0,0,0,1,3,3.00,0,20,13,182,14.00,1,0,0,1,,,25,37.5,40.5,31.0,,116,

278,Josh Oliver,BAL,TE,25,13,5,0,0,0,0,0,0,0,,0,18,11,130,11.82,2,0,0,2,,,25,36.0,39.0,30.5,,42,

279,Colby Parkinson,SEA,TE,23,14,0,0,0,0,0,0,0,0,,0,20,15,194,12.93,1,0,0,1,,,25,40.4,43.4,32.9,,41,

280,Ameer Abdullah,LVR,RB,29,13,0,0,0,0,0,0,4,20,5.00,0,26,20,160,8.00,1,0,0,1,,,24,44.0,47.0,34.0,,78,

281,Justice Hill,BAL,RB,25,11,0,0,0,0,0,0,41,225,5.49,0,10,10,39,3.90,0,2,1,0,,,24,34.4,38.4,29.4,,77,

282,O.J. Howard,HOU,TE,28,12,9,0,0,0,0,0,0,0,,0,21,9,119,13.22,2,0,0,2,,,24,32.9,35.9,28.4,,43,

283,Darren Waller,LVR,TE,30,5,4,0,0,0,0,0,0,0,,0,24,16,175,10.94,1,0,0,1,,,24,39.5,42.5,31.5,,44,

284,Elijah Mitchell,SFO,RB,24,4,1,0,0,0,0,0,40,224,5.60,0,4,3,7,2.33,0,0,0,0,,,23,26.1,29.1,24.6,,79,

285,MyCole Pruitt,ATL,TE,30,9,3,0,0,0,0,0,0,0,,0,8,7,47,6.71,3,0,0,3,,,23,29.7,29.7,26.2,,46,

286,Shi Smith,CAR,WR,24,13,5,0,0,0,0,0,0,0,,0,31,16,185,11.56,1,3,1,1,,,23,38.5,42.5,30.5,,117,

287,Adam Trautman,NOR,TE,25,11,9,0,0,0,0,0,0,0,,0,19,16,173,10.81,1,0,0,1,,,23,39.3,42.3,31.3,,45,

288,Marquez Callaway,NOR,WR,24,11,3,0,0,0,0,0,0,0,,0,31,16,158,9.88,1,0,0,1,,,22,37.8,40.8,29.8,,118,

289,River Cracraft,MIA,WR,28,9,0,0,0,0,0,0,0,0,,0,13,8,97,12.13,2,0,0,2,,,22,29.7,29.7,25.7,,119,

290,Tyler Huntley,BAL,QB,24,3,1,35,44,275,0,1,19,72,3.79,1,0,0,0,,0,1,0,1,,,22,22.2,23.2,23.2,,45,

291,Alec Ingold,MIA,RB,26,13,11,0,0,0,0,0,5,6,1.20,1,18,14,98,7.00,1,0,0,2,,,22,36.4,36.4,29.4,,80,

292,Ty Johnson,NYJ,RB,25,13,0,0,0,0,0,0,15,95,6.33,1,16,9,64,7.11,0,0,0,1,,,22,30.9,30.9,26.4,,81,

293,Jordan Mason,SFO,RB,23,13,0,0,0,0,0,0,33,217,6.58,0,0,0,0,,0,0,0,0,,,22,21.7,24.7,21.7,,83,

294,Craig Reynolds,DET,RB,26,8,0,0,0,0,0,0,23,102,4.43,0,10,9,116,12.89,0,0,0,0,,,22,30.8,36.8,26.3,,82,

295,Deshaun Watson,CLE,QB,27,2,2,38,64,407,1,2,13,54,4.15,0,0,0,0,,0,0,0,0,,,22,21.7,26.7,23.7,,46,

296,Jody Fortson,KAN,TE,27,12,1,0,0,0,0,0,0,0,,0,12,9,108,12.00,2,1,1,2,,,21,29.8,33.8,25.3,,47,

297,A.J. Green,ARI,WR,34,11,7,0,0,0,0,0,0,0,,0,38,19,128,6.74,1,0,0,1,1,,21,39.8,42.8,30.3,,121,

298,Peyton Hendershot,DAL,TE,23,13,1,0,0,0,0,0,1,2,2.00,1,14,10,83,8.30,1,1,0,2,,,21,30.5,30.5,25.5,,48,

299,Sterling Shepard,NYG,WR,29,3,2,0,0,0,0,0,0,0,,0,24,13,154,11.85,1,0,0,1,,,21,34.4,37.4,27.9,,120,

300,Jonnu Smith,NWE,TE,27,12,6,0,0,0,0,0,1,5,5.00,0,31,22,200,9.09,0,1,0,0,,,21,42.5,45.5,31.5,,49,

301,Sammy Watkins,GNB,WR,29,9,3,0,0,0,0,0,0,0,,0,22,13,206,15.85,0,0,0,0,,,21,33.6,36.6,27.1,,122,

302,David Bell,CLE,WR,22,13,3,0,0,0,0,0,0,0,,0,31,23,196,8.52,0,0,0,0,,,20,42.6,45.6,31.1,,124,

303,Mike Boone,DEN,RB,27,9,0,0,0,0,0,0,24,102,4.25,0,15,9,96,10.67,0,0,0,0,,,20,28.8,31.8,24.3,,85,

304,Malik Davis,DAL,RB,24,8,0,0,0,0,0,0,23,103,4.48,1,5,4,40,10.00,0,0,0,1,,,20,24.3,27.3,22.3,,84,

305,Zach Pascal,PHI,WR,28,13,1,0,0,0,0,0,1,0,0.00,0,17,14,144,10.29,1,0,0,1,,,20,34.4,37.4,27.4,,123,

306,Durham Smythe,MIA,TE,27,12,11,0,0,0,0,0,2,1,0.50,1,12,9,75,8.33,1,0,0,2,,,20,28.6,28.6,24.1,,52,

307,Tommy Tremble,CAR,TE,22,13,3,0,0,0,0,0,0,0,,0,23,11,101,9.18,2,1,1,2,,,20,31.1,35.1,25.6,,50,

308,Brock Wright,DET,TE,24,13,7,0,0,0,0,0,0,0,,0,16,13,141,10.85,1,0,0,1,,,20,33.1,36.1,26.6,,51,

309,Tevin Coleman,SFO,RB,29,5,0,0,0,0,0,0,12,26,2.17,1,3,3,44,14.67,1,0,0,2,,,19,22.0,22.0,20.5,,86,

310,KJ Hamler,DEN,WR,23,7,0,0,0,0,0,0,2,23,11.50,0,14,7,165,23.57,0,0,0,0,,,19,25.8,28.8,22.3,,125,

311,Scott Miller,TAM,WR,25,11,1,0,0,0,0,0,1,8,8.00,0,37,22,177,8.05,0,0,0,0,,,19,40.5,43.5,29.5,,128,

312,Brandon Powell,LAR,WR,27,13,2,0,0,0,0,0,12,53,4.42,0,22,18,135,7.50,0,1,0,0,,,19,36.8,39.8,27.8,,126,

313,Khalil Shakir,BUF,WR,22,11,2,0,0,0,0,0,0,0,,0,17,8,128,16.00,1,0,0,1,,,19,26.8,29.8,22.8,,127,

314,Kadarius Toney,2TM,WR,23,5,2,0,0,0,0,0,4,56,14.00,0,11,8,69,8.63,1,0,0,1,,,19,26.5,26.5,22.5,,129,

315,Johnny Mundt,MIN,TE,28,13,9,0,0,0,0,0,0,0,,0,19,17,117,6.88,1,0,0,1,,,18,34.7,37.7,26.2,,53,

316,Dare Ogunbowale,HOU,RB,28,13,1,0,0,0,0,0,8,27,3.38,1,17,13,95,7.31,0,0,0,1,,,18,31.2,31.2,24.7,,87,

317,Ian Thomas,CAR,TE,26,13,13,0,0,0,0,0,0,0,,0,26,19,176,9.26,0,0,0,0,,,18,36.6,39.6,27.1,,54,

318,Kyren Williams,LAR,RB,22,6,0,0,0,0,0,0,25,108,4.32,0,11,8,73,9.13,0,0,0,0,,,18,26.1,29.1,22.1,,88,

319,John Bates,WAS,TE,25,12,5,0,0,0,0,0,0,0,,0,22,14,108,7.71,1,1,0,1,,,17,30.8,33.8,23.8,,56,

320,Gary Brightwell,NYG,RB,23,13,0,0,0,0,0,0,14,73,5.21,1,5,4,36,9.00,0,0,0,1,,,17,20.9,20.9,18.9,,90,

321,Ross Dwelley,SFO,TE,27,12,0,0,0,0,0,0,0,0,,0,5,3,105,35.00,1,0,0,1,,,17,19.5,22.5,18.0,,58,

322,Connor Heyward,PIT,TE,23,13,0,0,0,0,0,0,0,0,,0,10,9,106,11.78,1,0,0,1,,,17,25.6,28.6,21.1,,57,

323,Denzel Mims,NYJ,WR,25,7,3,0,0,0,0,0,0,0,,0,22,10,173,17.30,0,0,0,0,,,17,27.3,30.3,22.3,,130,

324,Jalen Reagor,MIN,WR,23,13,0,0,0,0,0,0,2,25,12.50,0,9,6,87,14.50,1,3,0,1,,,17,23.2,23.2,20.2,,131,

325,Hunter Renfrow,LVR,WR,27,6,1,0,0,0,0,0,0,0,,0,29,21,192,9.14,0,3,1,0,,,17,38.2,42.2,27.7,,132,

326,Eric Saubert,DEN,TE,28,13,5,0,0,0,0,0,0,0,,0,19,11,113,10.27,1,0,0,1,,,17,28.3,31.3,22.8,,55,

327,Benny Snell Jr.,PIT,RB,24,13,0,0,0,0,0,0,20,90,4.50,1,2,2,17,8.50,0,0,0,1,,,17,18.7,18.7,17.7,,91,

328,Darrel Williams,ARI,RB,27,6,0,0,0,0,0,0,21,102,4.86,1,8,4,9,2.25,0,0,0,1,,,17,21.1,24.1,19.1,,89,

329,Kyle Allen,HOU,QB,26,2,2,46,78,416,2,4,6,13,2.17,0,0,0,0,,0,4,1,0,,,16,15.9,23.9,19.9,,47,

330,Marlon Mack,2TM,RB,26,5,0,0,0,0,0,0,7,25,3.57,0,5,4,73,18.25,1,0,0,1,,,16,19.8,19.8,17.8,,93,

331,Sony Michel,LAC,RB,27,10,0,0,0,0,0,0,36,106,2.94,0,13,9,53,5.89,0,0,0,0,,,16,24.9,27.9,20.4,,92,

332,Skyy Moore,KAN,WR,22,13,3,0,0,0,0,0,1,12,12.00,0,28,18,212,11.78,0,3,3,0,,,16,34.4,40.4,25.4,,133,

333,Bryce Perkins,LAR,QB,26,4,1,19,34,161,1,2,18,92,5.11,0,0,0,0,,0,0,0,0,,,16,15.6,17.6,17.6,,48,

334,Pierre Strong,NWE,RB,24,11,0,0,0,0,0,0,6,75,12.50,1,2,2,20,10.00,0,0,0,1,,,16,17.5,17.5,16.5,,94,

335,Brandon Bolden,LVR,RB,32,12,0,0,0,0,0,0,8,34,4.25,0,9,9,57,6.33,1,0,0,1,,,15,24.1,24.1,19.6,,95,

336,Cameron Brate,TAM,TE,31,8,1,0,0,0,0,0,0,0,,0,33,18,149,8.28,0,0,0,0,,,15,32.9,35.9,23.9,,59,

337,N'Keal Harry,CHI,WR,25,4,0,0,0,0,0,0,0,0,,0,6,5,93,18.60,1,0,0,1,,,15,20.3,20.3,17.8,,134,

338,Anthony Schwartz,CLE,WR,22,11,1,0,0,0,0,0,4,57,14.25,1,10,4,51,12.75,0,1,1,1,,,15,18.8,19.8,16.8,,135,

339,John Wolford,LAR,QB,27,3,3,38,62,390,1,3,8,32,4.00,0,0,0,0,,0,3,1,0,,,15,14.8,21.8,17.8,,49,

340,Sam Ehlinger,IND,QB,24,2,2,32,52,304,0,1,11,54,4.91,0,0,0,0,,0,1,1,0,,,14,13.6,18.6,14.6,,50,

341,Zander Horvath,LAC,RB,24,13,2,0,0,0,0,0,4,8,2.00,0,8,5,8,1.60,2,0,0,2,,,14,18.6,18.6,16.1,,96,

342,Keaontay Ingram,ARI,RB,23,8,0,0,0,0,0,0,22,53,2.41,1,2,2,23,11.50,0,0,0,1,,,14,15.6,15.6,14.6,,97,

343,Tom Kennedy,DET,WR,26,7,1,0,0,0,0,0,0,0,,0,15,8,141,17.63,0,0,0,0,,,14,22.1,25.1,18.1,,137,

344,Ko Kieft,TAM,TE,24,13,9,0,0,0,0,0,0,0,,0,9,7,80,11.43,1,0,0,1,,,14,21.0,21.0,17.5,,60,

345,Samori Toure,GNB,WR,24,7,2,0,0,0,0,0,0,0,,0,10,5,82,16.40,1,1,0,1,,,14,19.2,19.2,16.7,,136,

346,C.J. Uzomah,NYJ,TE,29,12,10,0,0,0,0,0,0,0,,0,17,15,137,9.13,0,0,0,0,,,14,28.7,31.7,21.2,,61,

347,DeeJay Dallas,SEA,RB,24,12,0,0,1,0,0,1,24,104,4.33,0,8,7,42,6.00,0,1,0,0,,,13,19.6,23.6,17.1,,99,

348,Tanner Hudson,NYG,TE,28,11,0,0,0,0,0,0,0,0,,0,15,10,132,13.20,0,0,0,0,,,13,23.2,26.2,18.2,,62,

349,DeSean Jackson,BAL,WR,36,4,1,0,0,0,0,0,0,0,,0,10,7,134,19.14,0,0,0,0,,,13,20.4,23.4,16.9,,138,

350,Zack Moss,2TM,RB,25,9,0,0,0,0,0,0,24,122,5.08,0,8,7,27,3.86,0,1,1,0,,,13,19.9,23.9,16.4,,98,

351,Chris Myarick,NYG,TE,27,13,8,0,0,0,0,0,0,0,,0,8,7,65,9.29,1,0,0,1,,,13,19.5,19.5,16.0,,63,

352,Breshad Perriman,TAM,WR,29,9,2,0,0,0,0,0,2,-7,-3.50,0,17,8,101,12.63,1,2,1,1,,,13,21.4,25.4,17.4,,139,

353,Amari Rodgers,2TM,WR,23,12,0,0,0,0,0,0,1,3,3.00,0,13,8,107,13.38,1,5,2,1,,,13,21.0,26.0,17.0,,140,

354,Dan Arnold,JAX,TE,27,13,0,0,0,0,0,0,0,0,,0,11,8,118,14.75,0,0,0,0,,,12,19.8,22.8,15.8,,64,

355,Pharaoh Brown,2TM,TE,28,12,7,0,0,0,0,0,0,0,,0,20,12,117,9.75,0,0,0,0,,,12,23.7,26.7,17.7,,65,

356,Reggie Gilliam,BUF,RB,25,12,3,0,0,0,0,0,0,0,,0,9,7,57,8.14,1,0,0,1,,,12,18.7,18.7,15.2,,100,

357,Trey Lance,SFO,QB,22,2,2,15,31,194,0,1,16,67,4.19,0,0,0,0,,0,1,0,0,,,12,12.5,13.5,13.5,,51,

358,Byron Pringle,CHI,WR,29,7,1,0,0,0,0,0,0,0,,0,7,5,57,11.40,1,0,0,1,,,12,16.7,16.7,14.2,,142,

359,Jack Stoll,PHI,TE,24,13,9,0,0,0,0,0,0,0,,0,13,10,117,11.70,0,0,0,0,,,12,21.7,24.7,16.7,,66,

360,Jalen Virgil,DEN,WR,24,5,1,0,0,0,0,0,0,0,,0,4,2,75,37.50,1,1,1,1,,,12,13.5,14.5,12.5,,143,

361,Cedrick Wilson Jr.,MIA,WR,27,12,0,0,0,0,0,0,1,8,8.00,0,16,11,115,10.45,0,0,0,0,,,12,23.3,26.3,17.8,,141,

362,Lawrence Cager,2TM,TE,25,5,3,0,0,0,0,0,0,0,,0,9,5,49,9.80,1,0,0,1,,,11,15.9,15.9,13.4,,68,

363,Josiah Deguara,GNB,TE,25,13,1,0,0,0,0,0,0,0,,0,13,11,106,9.64,0,0,0,0,,,11,21.6,24.6,16.1,,71,

364,Jeff Driskel,HOU,TE,29,3,0,4,6,38,1,0,9,51,5.67,0,0,0,0,,0,0,0,0,,,11,10.6,10.6,10.6,,70,

365,Jordan Love,GNB,QB,24,3,0,12,18,186,1,0,0,0,,0,0,0,0,,0,0,0,0,,,11,11.4,11.4,11.4,,52,

366,James Mitchell,DET,TE,23,10,0,0,0,0,0,0,0,0,,0,5,5,48,9.60,1,0,0,1,,,11,15.8,15.8,13.3,,69,

367,Brett Rypien,DEN,QB,26,2,1,28,54,241,1,2,4,9,2.25,0,0,0,0,,0,2,0,0,,,11,10.5,12.5,12.5,,54,

368,David Sills,NYG,WR,26,9,5,0,0,0,0,0,0,0,,0,17,11,106,9.64,0,0,0,0,,,11,21.6,24.6,16.1,,144,

369,Geoff Swaim,TEN,TE,29,13,10,0,0,0,0,0,0,0,,0,13,9,50,5.56,1,0,0,1,,,11,20.0,20.0,15.5,,67,

370,Tyrod Taylor,NYG,QB,33,2,0,6,8,58,1,1,5,70,14.00,0,0,0,0,,0,2,1,0,,1,11,11.3,13.3,12.3,,53,

371,Chris Evans,CIN,RB,25,11,0,0,0,0,0,0,0,0,,0,4,3,38,12.67,1,0,0,1,,,10,12.8,12.8,11.3,,101,

372,Zach Gentry,PIT,TE,26,13,10,0,0,0,0,0,0,0,,0,20,16,104,6.50,0,0,0,0,,,10,26.4,29.4,18.4,,72,

373,C.J. Ham,MIN,RB,29,13,2,0,0,0,0,0,2,6,3.00,1,6,4,30,7.50,0,0,0,1,,,10,13.6,13.6,11.6,,102,

374,Marcedes Lewis,GNB,TE,38,13,13,0,0,0,0,0,0,0,,0,4,3,20,6.67,1,0,0,1,1,,10,13.0,13.0,11.5,,73,

375,Dax Milne,WAS,WR,23,11,1,0,0,0,0,0,0,0,,0,7,6,37,6.17,1,0,0,1,,,10,15.7,15.7,12.7,,146,

376,Trevor Siemian,CHI,QB,31,2,1,15,26,184,1,1,4,8,2.00,0,0,0,0,,0,0,0,0,,,10,10.2,11.2,11.2,,55,

377,Jameson Williams,DET,WR,21,2,0,0,0,0,0,0,0,0,,0,3,1,41,41.00,1,0,0,1,,,10,11.1,11.1,10.6,,145,

378,Michael Bandy,LAC,WR,25,10,2,0,0,0,0,0,0,0,,0,21,10,89,8.90,0,0,0,0,,,9,18.9,18.9,13.9,,148,

379,Keelan Cole,LVR,WR,29,10,3,0,0,0,0,0,0,0,,0,16,7,86,12.29,0,1,0,0,,,9,15.6,15.6,12.1,,150,

380,Darrynton Evans,CHI,RB,24,4,0,0,0,0,0,0,12,55,4.58,0,1,1,33,33.00,0,0,0,0,,,9,9.8,9.8,9.3,,105,

381,Kevin Harris,NWE,RB,22,3,0,0,0,0,0,0,12,30,2.50,1,0,0,0,,0,0,0,1,,,9,9.0,9.0,9.0,,103,

382,Velus Jones Jr.,CHI,WR,25,8,0,0,0,0,0,0,6,48,8.00,0,5,3,24,8.00,1,2,2,1,,,9,12.2,14.2,10.7,,147,

383,Phillip Lindsay,IND,RB,28,3,0,0,0,0,0,0,15,49,3.27,0,8,6,19,3.17,0,0,0,0,1,,9,14.8,14.8,11.8,,106,

384,Patrick Ricard,BAL,RB,28,13,12,0,0,0,0,0,6,16,2.67,0,13,11,74,6.73,0,0,0,0,,,9,20.0,20.0,14.5,,104,

385,Armani Rogers,WAS,TE,25,10,3,0,0,0,0,0,1,24,24.00,0,6,5,64,12.80,0,0,0,0,,,9,13.8,13.8,11.3,,74,

386,Steven Sims,PIT,WR,25,8,1,0,0,0,0,0,10,35,3.50,0,16,9,53,5.89,0,2,0,0,,,9,17.8,17.8,13.3,,149,

387,Derek Watt,PIT,RB,30,13,3,0,0,0,0,0,5,15,3.00,0,5,5,11,2.20,1,0,0,1,,,9,13.6,13.6,11.1,,107,

388,Grant Calcaterra,PHI,TE,24,11,2,0,0,0,0,0,0,0,,0,7,5,81,16.20,0,0,0,0,,,8,13.1,13.1,10.6,,77,

389,Anthony Firkser,ATL,TE,27,7,1,0,0,0,0,0,0,0,,0,7,6,79,13.17,0,0,0,0,,,8,13.9,13.9,10.9,,78,

390,Parker Hesse,ATL,TE,27,13,4,0,0,0,0,0,0,0,,0,9,7,75,10.71,0,0,0,0,,,8,14.5,14.5,11.0,,80,

391,Brevin Jordan,HOU,TE,22,7,2,0,0,0,0,0,0,0,,0,22,10,78,7.80,0,0,0,0,,,8,17.8,17.8,12.8,,79,

392,Teagan Quitoriano,HOU,TE,22,6,4,0,0,0,0,0,0,0,,0,7,3,22,7.33,1,0,0,1,,,8,11.2,11.2,9.7,,76,

393,Jonathan Williams,WAS,RB,28,9,0,0,0,0,0,0,11,77,7.00,0,0,0,0,,0,0,0,0,,,8,7.7,7.7,7.7,,108,

394,Shane Zylstra,DET,TE,26,9,1,0,0,0,0,0,0,0,,0,5,4,23,5.75,1,0,0,1,,,8,12.3,12.3,10.3,,75,

395,Malcolm Brown,LAR,RB,29,7,0,0,0,0,0,0,15,39,2.60,0,4,4,35,8.75,0,0,0,0,,,7,11.4,11.4,9.4,,109,

396,D'Wayne Eskridge,SEA,WR,25,10,0,0,0,0,0,0,2,10,5.00,0,13,7,58,8.29,0,0,0,0,,,7,13.8,13.8,10.3,,155,

397,Brandon Johnson,DEN,WR,24,4,0,0,0,0,0,0,0,0,,0,10,3,12,4.00,1,0,0,1,,,7,10.2,10.2,8.7,,154,

398,Trey McBride,ARI,TE,23,12,9,0,0,0,0,0,0,0,,0,17,12,74,6.17,0,1,0,0,,,7,19.4,19.4,13.4,,81,

399,Ty Montgomery,NWE,WR,29,1,0,0,0,0,0,0,2,-2,-1.00,0,4,3,15,5.00,1,0,0,1,,,7,10.3,10.3,8.8,,152,

400,Kene Nwangwu,MIN,RB,24,13,0,0,0,0,0,0,4,1,0.25,0,1,1,5,5.00,0,0,0,1,,,7,7.6,7.6,7.1,,111,

401,Giovanni Ricci,CAR,RB,26,11,3,0,0,0,0,0,0,0,,0,8,7,68,9.71,0,0,0,0,,,7,13.8,13.8,10.3,,110,

402,Cam Sims,WAS,WR,26,13,3,0,0,0,0,0,0,0,,0,16,7,73,10.43,0,0,0,0,,,7,14.3,14.3,10.8,,153,

403,Kevin White,NOR,WR,30,7,2,0,0,0,0,0,0,0,,0,5,2,74,37.00,0,0,0,0,,,7,9.4,9.4,8.4,,151,

404,Mitchell Wilcox,CIN,TE,26,13,2,0,0,0,0,0,0,0,,0,9,8,70,8.75,0,0,0,0,,,7,15.0,15.0,11.0,,82,

405,Malik Willis,TEN,QB,23,6,2,14,34,157,0,1,19,72,3.79,0,0,0,0,,0,2,2,0,,,7,7.5,10.5,8.5,,56,

406,Andrew Beck,DEN,TE,26,9,4,0,0,0,0,0,1,-1,-1.00,0,6,3,59,19.67,0,0,0,0,,,6,8.8,8.8,7.3,,84,

407,Jamison Crowder,BUF,WR,29,4,0,0,0,0,0,0,0,0,,0,13,6,60,10.00,0,1,0,0,,,6,12.0,12.0,9.0,,159,

408,Jalen Guyton,LAC,WR,25,3,0,0,0,0,0,0,0,0,,0,4,2,64,32.00,0,0,0,0,,,6,8.4,8.4,7.4,,156,

409,Marcus Johnson,NYG,WR,28,10,4,0,0,0,0,0,0,0,,0,16,6,63,10.50,0,0,0,0,,,6,12.3,12.3,9.3,,158,

410,Tyler Kroft,SFO,TE,30,8,3,0,0,0,0,0,0,0,,0,5,4,57,14.25,0,0,0,0,,,6,9.7,9.7,7.7,,85,

411,Jake Kumerow,BUF,WR,30,6,1,0,0,0,0,0,0,0,,0,7,4,64,16.00,0,0,0,0,,,6,10.4,10.4,8.4,,157,

412,Tre' McKitty,LAC,TE,23,13,6,0,0,0,0,0,0,0,,0,15,9,62,6.89,0,1,0,0,,,6,15.2,15.2,10.7,,83,

413,Gunner Olszewski,PIT,WR,26,12,1,0,0,0,0,0,5,29,5.80,0,6,4,50,12.50,0,2,1,0,,,6,9.9,10.9,7.9,,160,

414,Jeff Smith,NYJ,WR,25,10,0,0,0,0,0,0,0,0,,0,6,4,57,14.25,0,0,0,0,,,6,9.7,9.7,7.7,,163,

415,Mike Strachan,IND,WR,25,10,0,0,0,0,0,0,0,0,,0,8,3,59,19.67,0,0,0,0,,,6,8.9,8.9,7.4,,161,

416,Trent Taylor,CIN,WR,28,13,1,0,0,0,0,0,4,15,3.75,0,10,6,62,10.33,0,2,1,0,,,6,11.7,12.7,8.7,,164,

417,Mike Thomas,CIN,WR,28,10,2,0,0,0,0,0,0,0,,0,10,2,38,19.00,0,0,0,0,1,,6,7.8,7.8,6.8,,162,

418,Zamir White,LVR,RB,23,12,0,0,0,0,0,0,15,62,4.13,0,0,0,0,,0,0,0,0,,,6,6.2,6.2,6.2,,112,

419,Trayveon Williams,CIN,RB,25,5,0,0,0,0,0,0,6,30,5.00,0,3,2,30,15.00,0,0,0,0,,,6,8.0,8.0,7.0,,113,

420,Spencer Brown,CAR,RB,24,2,0,0,0,0,0,0,9,43,4.78,0,4,2,10,5.00,0,0,0,0,,,5,7.3,7.3,6.3,,117,

421,Myles Gaskin,MIA,RB,25,3,0,0,0,0,0,0,10,26,2.60,0,6,4,28,7.00,0,0,0,0,,,5,9.4,9.4,7.4,,114,

422,Kenny Golladay,NYG,WR,29,8,3,0,0,0,0,0,0,0,,0,10,4,51,12.75,0,0,0,0,,,5,9.1,9.1,7.1,,166,

423,Hassan Haskins,TEN,RB,23,11,0,0,0,0,0,0,10,42,4.20,0,3,3,7,2.33,0,0,0,0,,,5,7.9,7.9,6.4,,119,

