Ranking,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Ints,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TotalTD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
424,Cody Hollister,TEN,WR,29,11,3,0,0,0,0,0,0,0,,0,5,3,54,18.00,0,0,0,0,,,5,8.4,8.4,6.9,,165,

425,Tony Jones,2TM,RB,25,6,0,0,0,0,0,0,10,24,2.40,0,8,5,30,6.00,0,0,0,0,,,5,10.4,10.4,7.9,,115,

426,Quintin Morris,BUF,TE,23,11,1,0,0,0,0,0,0,0,,0,10,7,70,10.00,0,1,1,0,,,5,12.0,13.0,8.5,,87,

427,Albert Okwuegbunam,DEN,TE,24,6,0,0,0,0,0,0,0,0,,0,11,7,50,7.14,0,0,0,0,,,5,12.0,12.0,8.5,,88,

428,Donald Parham,LAC,TE,25,2,0,0,0,0,0,0,0,0,,0,4,3,53,17.67,0,0,0,0,,,5,8.3,8.3,6.8,,86,

429,Ronnie Rivers,LAR,RB,23,5,1,0,0,0,0,0,9,21,2.33,0,5,5,29,5.80,0,0,0,0,,,5,10.0,10.0,7.5,,118,

430,Isaiah Spiller,LAC,RB,21,6,0,0,0,0,0,0,18,41,2.28,0,3,3,13,4.33,0,0,0,0,,,5,8.4,8.4,6.9,,116,

431,Stephen Sullivan,CAR,TE,26,10,0,0,0,0,0,0,0,0,,0,4,2,46,23.00,0,0,0,0,,,5,6.6,6.6,5.6,,90,

432,Skylar Thompson,MIA,QB,25,5,1,28,53,278,0,2,10,14,1.40,0,0,0,0,,0,2,2,0,,,5,4.5,8.5,6.5,,57,

433,Eric Tomlinson,DEN,TE,30,13,10,0,0,0,0,0,0,0,,0,9,5,48,9.60,0,0,0,0,,,5,9.8,9.8,7.3,,89,

434,Dwayne Washington,NOR,RB,28,12,0,0,0,0,0,0,11,38,3.45,0,1,1,7,7.00,0,0,0,0,,,5,5.5,5.5,5.0,,121,

435,Trevon Wesco,CHI,TE,27,12,1,0,0,0,0,0,0,0,,0,4,2,26,13.00,0,0,0,0,1,,5,6.6,6.6,5.6,,91,

436,Jordan Wilkins,IND,RB,28,2,0,0,0,0,0,0,6,31,5.17,0,5,4,15,3.75,0,0,0,0,,,5,8.6,8.6,6.6,,120,

437,Kendall Blanton,LAR,TE,27,4,0,0,0,0,0,0,0,0,,0,2,2,35,17.50,0,0,0,0,,,4,5.5,5.5,4.5,,93,

438,Tyrion Davis-Price,SFO,RB,22,3,0,0,0,0,0,0,16,37,2.31,0,2,0,0,,0,0,0,0,,,4,3.7,3.7,3.7,,124,

439,Trestan Ebner,CHI,RB,23,13,0,0,0,0,0,0,24,54,2.25,0,5,2,8,4.00,0,2,1,0,,,4,6.2,7.2,5.2,,122,

440,Chris Manhertz,JAX,TE,30,13,9,0,0,0,0,0,0,0,,0,8,6,42,7.00,0,0,0,0,,,4,10.2,10.2,7.2,,92,

441,Anthony McFarland Jr.,PIT,RB,23,1,0,0,0,0,0,0,6,30,5.00,0,2,2,11,5.50,0,0,0,0,,,4,6.1,6.1,5.1,,123,

442,Kyle Philips,TEN,WR,23,4,0,0,0,0,0,0,0,0,,0,13,8,78,9.75,0,2,2,0,,,4,11.8,13.8,7.8,,168,

443,James Proche,BAL,WR,26,11,0,0,1,0,0,1,0,0,,0,12,8,62,7.75,0,0,0,0,,,4,12.2,13.2,9.2,,167,

444,Andre Baccellia,ARI,WR,25,6,0,0,0,0,0,0,0,0,,0,7,5,32,6.40,0,0,0,0,,,3,8.2,8.2,5.7,,169,

445,Corey Clement,ARI,RB,28,5,0,0,0,0,0,0,0,0,,0,2,2,29,14.50,0,0,0,0,,,3,4.9,4.9,3.9,,127,

446,Tyrie Cleveland,DEN,WR,25,6,0,0,0,0,0,0,0,0,,0,7,2,28,14.00,0,0,0,0,,,3,4.8,4.8,3.8,,171,

447,Chris Conley,2TM,WR,30,5,0,0,0,0,0,0,0,0,,0,4,1,27,27.00,0,0,0,0,,,3,3.7,3.7,3.2,,174,

448,Jaelon Darden,TAM,WR,23,12,0,0,0,0,0,0,1,2,2.00,0,2,2,26,13.00,0,0,0,0,,,3,4.8,4.8,3.8,,172,

449,Tyler Davis,GNB,TE,25,13,1,0,0,0,0,0,0,0,,0,7,4,26,6.50,0,0,0,0,,,3,6.6,6.6,4.6,,96,

450,Ben Ellefson,MIN,TE,26,4,1,0,0,0,0,0,0,0,,0,3,3,26,8.67,0,0,0,0,,,3,5.6,5.6,4.1,,97,

451,Luke Farrell,JAX,TE,25,13,0,0,0,0,0,0,0,0,,0,3,3,29,9.67,0,0,0,0,,,3,5.9,5.9,4.4,,95,

452,Brycen Hopkins,LAR,TE,25,10,0,0,0,0,0,0,0,0,,0,6,3,31,10.33,0,0,0,0,,,3,6.1,6.1,4.6,,94,

453,Ronald Jones II,KAN,RB,25,2,0,0,0,0,0,0,4,12,3.00,0,1,1,22,22.00,0,0,0,0,,,3,4.4,4.4,3.9,,125,

454,Tim Jones,JAX,WR,24,13,1,0,0,0,0,0,0,0,,0,4,3,30,10.00,0,0,0,0,,,3,6.0,6.0,4.5,,170,

455,Trace McSorley,ARI,QB,27,3,0,8,14,71,0,1,4,26,6.50,0,0,0,0,,0,0,0,0,,,3,3.4,4.4,4.4,,58,

456,Jalen Nailor,MIN,WR,23,11,0,0,0,0,0,0,0,0,,0,4,2,28,14.00,0,0,0,0,,,3,4.8,4.8,3.8,,173,

457,Jarrett Stidham,LVR,QB,26,3,0,8,13,72,0,0,0,0,,0,0,0,0,,0,0,0,0,,,3,2.9,2.9,2.9,,59,

458,DJ Turner,LVR,WR,25,9,0,0,0,0,0,0,4,26,6.50,0,1,0,0,,0,1,0,0,,,3,2.6,2.6,2.6,,175,

459,Ke'Shawn Vaughn,TAM,RB,25,11,0,0,0,0,0,0,8,21,2.63,0,2,1,11,11.00,0,0,0,0,,,3,4.2,4.2,3.7,,126,

460,Cole Beasley,TAM,WR,33,2,0,0,0,0,0,0,0,0,,0,5,4,17,4.25,0,0,0,0,,,2,5.7,5.7,3.7,,184,

461,Michael Burton,KAN,RB,30,13,0,0,0,0,0,0,5,7,1.40,0,3,2,11,5.50,0,0,0,0,,,2,3.8,3.8,2.8,,132,

462,Quintez Cephus,DET,WR,24,4,1,0,0,0,0,0,0,0,,0,3,2,15,7.50,0,0,0,0,,,2,3.5,3.5,2.5,,187,

463,Julius Chestnut,TEN,RB,22,2,0,0,0,0,0,0,5,13,2.60,0,2,2,8,4.00,0,0,0,0,,,2,4.1,4.1,3.1,,130,

464,Snoop Conner,JAX,RB,22,4,0,0,0,0,0,0,4,17,4.25,0,0,0,0,,0,0,0,0,,,2,1.7,1.7,1.7,,133,

465,Mike Davis,BAL,RB,29,8,0,0,0,0,0,0,8,18,2.25,0,2,2,4,2.00,0,1,0,0,,,2,4.2,4.2,3.2,,129,

466,Bryan Edwards,ATL,WR,24,7,1,0,0,0,0,0,0,0,,0,5,3,15,5.00,0,0,0,0,,,2,4.5,4.5,3.0,,188,

467,Simi Fehoko,DAL,WR,25,5,0,0,0,0,0,0,0,0,,0,4,3,24,8.00,0,0,0,0,,,2,5.4,5.4,3.9,,176,

468,Ryan Griffin,CHI,TE,32,11,0,0,0,0,0,0,0,0,,0,6,3,24,8.00,0,0,0,0,,,2,5.4,5.4,3.9,,98,

469,Penny Hart,SEA,WR,26,8,0,0,0,0,0,0,0,0,,0,2,2,18,9.00,0,0,0,0,,,2,3.8,3.8,2.8,,182,

470,Jesper Horsted,LVR,TE,25,11,0,0,0,0,0,0,0,0,,0,4,3,19,6.33,0,0,0,0,,,2,4.9,4.9,3.4,,102,

471,Dennis Houston,DAL,WR,23,2,0,0,0,0,0,0,0,0,,0,6,2,16,8.00,0,0,0,0,,,2,3.6,3.6,2.6,,186,

472,Lil'Jordan Humphrey,NWE,WR,24,6,2,0,0,0,0,0,0,0,,0,4,2,20,10.00,0,0,0,0,,,2,4.0,4.0,3.0,,181,

473,Andy Isabella,ARI,WR,26,3,0,0,0,0,0,0,0,0,,0,5,2,21,10.50,0,0,0,0,,,2,4.1,4.1,3.1,,178,

474,D'Ernest Johnson,CLE,RB,26,11,0,0,0,0,0,0,4,17,4.25,0,3,3,7,2.33,0,0,0,0,,,2,5.4,5.4,3.9,,128,

475,Keith Kirkwood,NOR,WR,28,2,1,0,0,0,0,0,0,0,,0,2,2,18,9.00,0,0,0,0,,,2,3.8,3.8,2.8,,183,

476,Nick Mullens,MIN,QB,27,2,0,6,8,51,0,0,0,0,,0,0,0,0,,0,0,0,0,,,2,2.0,2.0,2.0,,60,

477,Dezmon Patmon,IND,WR,24,1,0,0,0,0,0,0,0,0,,0,6,2,24,12.00,0,0,0,0,,,2,4.4,4.4,3.4,,177,

478,Kyle Rudolph,TAM,TE,33,6,0,0,0,0,0,0,0,0,,0,4,2,20,10.00,0,0,0,0,,,2,4.0,4.0,3.0,,101,

479,Trey Sermon,PHI,RB,23,2,0,0,0,0,0,0,2,19,9.50,0,0,0,0,,0,0,0,0,,,2,1.9,1.9,1.9,,131,

480,Stone Smartt,LAC,TE,24,4,1,0,0,0,0,0,0,0,,0,5,4,17,4.25,0,0,0,0,,,2,5.7,5.7,3.7,,103,

481,J.J. Taylor,NWE,RB,24,1,0,0,0,0,0,0,10,9,0.90,0,1,1,8,8.00,0,0,0,0,,,2,2.7,2.7,2.2,,134,

482,Cole Turner,WAS,TE,22,6,2,0,0,0,0,0,0,0,,0,9,2,23,11.50,0,0,0,0,,,2,4.3,4.3,3.3,,99,

483,Nick Vannett,2TM,TE,29,5,1,0,0,0,0,0,0,0,,0,4,3,22,7.33,0,0,0,0,,,2,5.2,5.2,3.7,,100,

484,Tylan Wallace,BAL,WR,23,8,0,0,0,0,0,0,0,0,,0,6,3,21,7.00,0,0,0,0,,,2,5.1,5.1,3.6,,179,

485,Juwann Winfree,GNB,WR,26,3,0,0,0,0,0,0,0,0,,0,4,1,17,17.00,0,0,0,0,,,2,2.7,2.7,2.2,,185,

486,Michael Woods II,CLE,WR,22,6,0,0,0,0,0,0,0,0,,0,6,2,21,10.50,0,0,0,0,,,2,4.1,4.1,3.1,,180,

487,Salvon Ahmed,MIA,RB,24,8,0,0,0,0,0,0,5,14,2.80,0,0,0,0,,0,0,0,0,,,1,1.4,1.4,1.4,,135,

488,Maurice Alexander,DET,WR,25,7,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,195,

489,Brandon Allen,CIN,QB,30,1,0,3,3,22,0,0,3,-1,-0.33,0,0,0,0,,0,0,0,0,,,1,0.8,0.8,0.8,,63,

490,Stephen Anderson,ARI,TE,29,13,0,0,0,0,0,0,0,0,,0,5,3,9,3.00,0,0,0,0,,,1,3.9,3.9,2.4,,105,

491,C.J. Board,TEN,WR,29,4,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,1,0,0,,,1,1.6,1.6,1.1,,197,

492,Miles Boykin,PIT,WR,26,12,0,0,0,0,0,0,0,0,,0,2,1,11,11.00,0,0,0,0,,,1,2.1,2.1,1.6,,192,

493,Jalen Camp,HOU,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,196,

494,Danny Gray,SFO,WR,23,10,0,0,0,0,0,0,0,0,,0,7,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,193,

495,Troy Hairston,HOU,RB,24,12,4,0,0,0,0,0,0,0,,0,5,3,12,4.00,0,0,0,0,,,1,4.2,4.2,2.7,,136,

496,Jacob Harris,LAR,TE,25,7,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,108,

497,Kylin Hill,GNB,RB,24,2,0,0,0,0,0,0,1,7,7.00,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,138,

498,Brian Hoyer,NWE,QB,37,1,1,5,6,37,0,0,0,0,,0,0,0,0,,0,0,0,0,,,1,1.5,1.5,1.5,,61,

499,David Johnson,NOR,RB,31,1,0,0,0,0,0,0,1,-4,-4.00,0,1,1,11,11.00,0,0,0,0,,,1,1.7,1.7,1.2,,139,

500,Jakob Johnson,LVR,RB,28,13,7,0,0,0,0,0,0,0,,0,5,4,7,1.75,0,0,0,0,,,1,4.7,4.7,2.7,,140,

501,Josh Johnson,SFO,QB,36,1,0,1,2,10,0,0,2,3,1.50,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,64,

502,Tyron Johnson,2TM,WR,26,4,1,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3,,194,

503,Sean McKeon,DAL,TE,25,9,0,0,0,0,0,0,0,0,,0,3,2,11,5.50,0,0,0,0,,,1,3.1,3.1,2.1,,104,

504,Gardner Minshew II,PHI,QB,26,3,0,2,4,34,0,0,2,-2,-1.00,0,0,0,0,,0,0,0,0,,,1,1.2,1.2,1.2,,62,

505,Jason Moore,LAC,WR,27,6,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,199,

506,Devine Ozigbo,DEN,RB,26,3,0,0,0,0,0,0,1,2,2.00,0,1,1,3,3.00,0,0,0,0,,,1,1.5,1.5,1.0,,142,

507,Mason Schreck,HOU,TE,29,2,1,0,0,0,0,0,0,0,,0,2,2,6,3.00,0,0,0,0,,,1,2.6,2.6,1.6,,109,

508,Keith Smith,ATL,RB,30,13,4,0,0,0,0,0,1,2,2.00,0,2,1,8,8.00,0,0,0,0,,,1,2.0,2.0,1.5,,137,

509,Tommy Sweeney,BUF,TE,27,5,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,106,

510,Patrick Taylor,GNB,RB,24,10,0,0,0,0,0,0,1,6,6.00,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6,,141,

511,Jalen Tolbert,DAL,WR,23,8,1,0,0,0,0,0,0,0,,0,3,2,12,6.00,0,0,0,0,,,1,3.2,3.2,2.2,,190,

512,Austin Trammell,LAR,WR,24,2,0,0,0,0,0,0,0,0,,0,4,2,13,6.50,0,0,0,0,,,1,3.3,3.3,2.3,,189,

513,KaVontae Turpin,DAL,WR,26,13,0,0,0,0,0,0,3,17,5.67,0,2,1,9,9.00,0,2,1,0,,,1,1.6,2.6,1.1,,198,

514,Montrell Washington,DEN,WR,23,13,1,0,0,0,0,0,5,30,6.00,0,9,4,2,0.50,0,4,1,0,,,1,5.2,6.2,3.2,,191,

515,Maxx Williams,ARI,TE,28,7,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,107,

516,Devin Asiasi,CIN,,25,10,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,111,

517,C.J. Beathard,JAX,QB,29,2,0,2,3,6,0,0,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,0.1,0.1,0.1,,67,

518,Trinity Benson,DET,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,203,

519,Giovani Bernard,TAM,,31,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,149,

520,Khari Blasingame,CHI,,26,12,5,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,150,

521,Lynn Bowden Jr.,NWE,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,204,

522,Nick Boyle,BAL,,29,10,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,112,

523,Anthony Brown,BAL,QB,24,1,0,3,5,16,0,0,3,-5,-1.67,0,0,0,0,,0,0,0,0,,,,0.1,0.1,0.1,,68,

524,John Brown,BUF,,32,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,205,

525,Jason Cabinda,DET,RB,26,5,2,0,0,0,0,0,1,4,4.00,0,2,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,143,

526,Trenton Cannon,TEN,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,151,

527,Cethan Carter,MIA,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,113,

528,Dan Chisena,MIN,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,206,

529,Pharoh Cooper,ARI,,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,207,

530,Keke Coutee,IND,WR,25,6,0,0,0,0,0,0,0,0,,0,1,1,20,20.00,0,3,1,0,,,,1.0,2.0,0.5,,208,

531,Chase Daniel,LAC,QB,36,2,0,0,2,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,69,

532,Rico Dowdle,DAL,,24,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,152,

533,Jacob Eason,CAR,QB,25,1,0,3,5,59,0,1,0,0,,0,0,0,0,,0,0,0,0,,,,0.4,1.4,1.4,,65,

534,Alex Erickson,WAS,,30,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,209,

535,Demetric Felton,CLE,RB,24,7,1,0,0,0,0,0,1,-4,-4.00,0,3,1,3,3.00,0,1,0,0,,,,0.9,0.9,0.4,,162,

536,Nick Foles ,IND,,33,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,70,

537,Jerome Ford,CLE,RB,23,9,0,0,0,0,0,0,3,3,1.00,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,146,

538,Feleipe Franks,ATL,,25,9,1,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,71,

539,Jake Funk,LAR,,24,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,153,

540,Tanner Gentry,BUF,,28,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,210,

541,Cullen Gillaspia,SEA,,27,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,154,

542,Josh Gordon,TEN,,31,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,211,

543,Justin Hardee,NYJ,,28,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,212,

544,Clark Harris,CIN,,38,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,114,

545,Chad Henne,KAN,QB,37,2,0,0,2,0,0,0,3,-3,-1.00,0,0,0,0,,0,1,0,0,,,,-0.3,-0.3,-0.3,,73,

546,Rashard Higgins,CAR,,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,213,

547,Jacob Hollister,2TM,,29,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,115,

548,J.P. Holtz,NOR,,29,6,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,116,

549,Jordan Howard,NOR,RB,28,2,0,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,0,0,0,,,,0.1,0.1,0.1,,148,

550,Godwin Igwebuike,SEA,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,155,

551,Tyree Jackson,PHI,,25,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,117,

552,Jesse James,CLE,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,118,

553,Duke Johnson,BUF,RB,29,1,0,0,0,0,0,0,2,4,2.00,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,144,

554,Tyler Johnson,HOU,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,214,

555,Taiwan Jones,BUF,,34,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,156,

556,Case Keenum,BUF,QB,34,2,0,2,7,8,0,0,5,0,0.00,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,66,

557,Marcus Kemp,KAN,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,215,

558,Mason Kinsey,TEN,WR,24,1,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,200,

559,Hunter Long,MIA,,24,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,119,

560,Racey McMath,TEN,,23,1,0,0,0,0,0,0,0,0,,0,4,0,0,,0,0,0,0,,,,,,,,216,

561,Kirk Merritt,NOR,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,217,

562,Stanley Morgan Jr.,CIN,,26,11,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,218,

563,Qadree Ollison,DAL,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,157,

564,Matthew Orzech,LAR,,27,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,120,

565,Jaret Patterson,WAS,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,158,

566,Adam Prentice,NOR,RB,25,7,1,0,0,0,0,0,1,2,2.00,0,1,1,2,2.00,0,1,0,0,,,,1.4,1.4,0.9,,145,

567,Kevin Rader,TEN,,27,10,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,121,

568,Andre Roberts,CAR,,34,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,219,

569,Richard Rodgers,LAC,TE,30,10,1,0,0,0,0,0,0,0,,0,4,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,110,

570,Larry Rountree,LAC,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,159,

571,Drew Sample,CIN,TE,26,2,2,0,0,0,0,0,0,0,,0,2,2,-2,-1.00,0,0,0,0,,,,1.8,1.8,0.8,,125,

572,Braylon Sanders,MIA,WR,23,1,0,0,0,0,0,0,0,0,,0,2,2,17,8.50,0,1,1,0,,,,1.7,2.7,0.7,,228,

573,Matthew Slater,NWE,,37,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,220,

574,Willie Snead,SFO,,30,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,221,

575,Matt Sokol,NWE,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,

576,Nate Sudfeld,DET,QB,29,1,0,0,0,0,0,0,2,-1,-0.50,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,72,

577,Freddie Swain,MIA,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,222,

578,Keir Thomas,LAR,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,223,

579,Noah Togiai,PHI,,25,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,123,

580,Laquon Treadwell,SEA,WR,27,3,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6,,202,

581,Malik Turner,SFO,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,224,

582,Jonathan Ward,ARI,,25,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,160,

583,James Washington,DAL,,26,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,225,

584,Cody White,PIT,WR,24,1,1,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,201,

585,Antonio Williams,NYG,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,161,

586,Damien Williams,ATL,RB,30,1,1,0,0,0,0,0,2,2,1.00,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,147,

587,Javon Wims,ARI,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,226,

588,Charlie Woerner,SFO,,25,14,2,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,124,

589,Brandon Zylstra,DET,,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,227,

590,Deonte Harty,NOR,WR,25,4,0,0,0,0,0,0,0,0,,0,2,2,13,6.50,0,1,1,0,,,-1,1.3,2.3,0.3,,230,

591,Ihmir Smith-Marsette,2TM,WR,23,7,0,0,0,0,0,0,1,-1,-1.00,0,4,1,15,15.00,0,1,1,0,,,-1,0.4,1.4,-0.1,,229,

592,Chester Rogers,CLE,,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,,,-2,-2.0,-1.0,-2.0,,231,

